Topic,Count,Name,Representation,Representative_Docs
9,236,9_offering_altar_burnt_aaron,"['offering', 'altar', 'burnt', 'aaron', 'bullock', 'meat', 'ram', 'sin', 'offer', 'oil']","['23:18 And ye shall offer with the bread seven lambs without blemish of the first year, and one young bullock, and two rams: they shall be for a burnt offering unto the LORD, with their meat offering, and their drink offerings, even an offering made by fire, of sweet savour unto the LORD.', '29:35 On the eighth day ye shall have a solemn assembly: ye shall do no servile work therein: 29:36 But ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savour unto the LORD: one bullock, one ram, seven lambs of the first year without blemish: 29:37 Their meat offering and their drink offerings for the bullock, for the ram, and for the lambs, shall be according to their number, after the manner: 29:38 And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering.', '29:2 And ye shall offer a burnt offering for a sweet savour unto the LORD; one young bullock, one ram, and seven lambs of the first year without blemish: 29:3 And their meat offering shall be of flour mingled with oil, three tenth deals for a bullock, and two tenth deals for a ram, 29:4 And one tenth deal for one lamb, throughout the seven lambs: 29:5 And one kid of the goats for a sin offering, to make an atonement for you: 29:6 Beside the burnt offering of the month, and his meat offering, and the daily burnt offering, and his meat offering, and their drink offerings, according unto their manner, for a sweet savour, a sacrifice made by fire unto the LORD.']"
10,231,10_11_shall_wicked_ye,"['11', 'shall', 'wicked', 'ye', 'god', 'them', 'evil', 'perils', 'unto', 'faith']","['11:33 O the depth of the riches both of the wisdom and knowledge of God!  how unsearchable are his judgments, and his ways past finding out!  11:34 For who hath known the mind of the Lord? or who hath been his counsellor?  11:35 Or who hath first given to him, and it shall be recompensed unto him again?  11:36 For of him, and through him, and to him, are all things: to whom be glory for ever. Amen.', '11:11 This city shall not be your caldron, neither shall ye be the flesh in the midst thereof; but I will judge you in the border of Israel: 11:12 And ye shall know that I am the LORD: for ye have not walked in my statutes, neither executed my judgments, but have done after the manners of the heathen that are round about you.', '11:11 Therefore thus saith the LORD, Behold, I will bring evil upon them, which they shall not be able to escape; and though they shall cry unto me, I will not hearken unto them.']"
11,226,11_12_members_ye_body,"['12', 'members', 'ye', 'body', 'lord', 'shall', 'god', 'spirit', 'thou', 'unto']","['12:15 If the foot shall say, Because I am not the hand, I am not of the body; is it therefore not of the body?  12:16 And if the ear shall say, Because I am not the eye, I am not of the body; is it therefore not of the body?  12:17 If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smelling?  12:18 But now hath God set the members every one of them in the body, as it hath pleased him.', '12:19 And if they were all one member, where were the body?  12:20 But now are they many members, yet but one body.', '12:4 Ye shall not do so unto the LORD your God.']"
12,213,12_christ_god_jesus_faith,"['christ', 'god', 'jesus', 'faith', 'ye', 'we', 'brethren', 'love', 'our', 'grace']","['1:3 We are bound to thank God always for you, brethren, as it is meet, because that your faith groweth exceedingly, and the charity of every one of you all toward each other aboundeth; 1:4 So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure: 1:5 Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer: 1:6 Seeing it is a righteous thing with God to recompense tribulation to them that trouble you; 1:7 And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels, 1:8 In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ: 1:9 Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power; 1:10 When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day.', '1:11 Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power: 1:12 That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.', '1:3  We give thanks to God and the Father of our Lord Jesus Christ, praying always for you, 1:4  Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints, 1:5  For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel; 1:6  Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth: 1:7  As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ; 1:8  Who also declared unto us your love in the Spirit.']"
13,208,13_ye_god_unto_hath,"['ye', 'god', 'unto', 'hath', 'sin', 'thy', 'shall', 'thee', 'christ', 'lord']","['6:28 If there be dearth in the land, if there be pestilence, if there be blasting, or mildew, locusts, or caterpillers; if their enemies besiege them in the cities of their land; whatsoever sore or whatsoever sickness there be: 6:29 Then what prayer or what supplication soever shall be made of any man, or of all thy people Israel, when every one shall know his own sore and his own grief, and shall spread forth his hands in this house: 6:30 Then hear thou from heaven thy dwelling place, and forgive, and render unto every man according unto all his ways, whose heart thou knowest; (for thou only knowest the hearts of the children of men:) 6:31 That they may fear thee, to walk in thy ways, so long as they live in the land which thou gavest unto our fathers.', '6:16 Know ye not, that to whom ye yield yourselves servants to obey, his servants ye are to whom ye obey; whether of sin unto death, or of obedience unto righteousness?  6:17 But God be thanked, that ye were the servants of sin, but ye have obeyed from the heart that form of doctrine which was delivered you.', '6:36 If they sin against thee, (for there is no man which sinneth not,) and thou be angry with them, and deliver them over before their enemies, and they carry them away captives unto a land far off or near; 6:37 Yet if they bethink themselves in the land whither they are carried captive, and turn and pray unto thee in the land of their captivity, saying, We have sinned, we have done amiss, and have dealt wickedly; 6:38 If they return to thee with all their heart and with all their soul in the land of their captivity, whither they have carried them captives, and pray toward their land, which thou gavest unto their fathers, and toward the city which thou hast chosen, and toward the house which I have built for thy name: 6:39 Then hear thou from the heavens, even from thy dwelling place, their prayer and their supplications, and maintain their cause, and forgive thy people which have sinned against thee.']"
14,208,14_wentworth_captain_charles_musgrove,"['wentworth', 'captain', 'charles', 'musgrove', 'anne', 'henrietta', 'louisa', 'uppercross', 'mary', 'harville']","['Lady Russell and Anne paid their compliments to them once, when Anne could not but feel that Uppercross was already quite alive again. Though neither Henrietta, nor Louisa, nor Charles Hayter, nor Captain Wentworth were there, the room presented as strong a contrast as could be wished to the last state she had seen it in.', ""She then found that it consisted of Mrs Musgrove, Henrietta, and Captain Harville, beside their two selves.  He gave her a very plain, intelligible account of the whole; a narration in which she saw a great deal of most characteristic proceeding.  The scheme had received its first impulse by Captain Harville's wanting to come to Bath on business.  He had begun to talk of it a week ago; and by way of doing something, as shooting was over, Charles had proposed coming with him, and Mrs Harville had seemed to like the idea of it very much, as an advantage to her husband; but Mary could not bear to be left, and had made herself so unhappy about it, that for a day or two everything seemed to be in suspense, or at an end.  But then, it had been taken up by his father and mother.  His mother had some old friends in Bath whom she wanted to see; it was thought a good opportunity for Henrietta to come and buy wedding-clothes for herself and her sister; and, in short, it ended in being his mother's party, that everything might be comfortable and easy to Captain Harville; and he and Mary were included in it by way of general convenience.  They had arrived late the night before. Mrs Harville, her children, and Captain Benwick, remained with Mr Musgrove and Louisa at Uppercross."", '""Charles may say what he pleases,"" cried Mary to Anne, as soon as he was out of the room, ""but it would be shocking to have Henrietta marry Charles Hayter; a very bad thing for her, and still worse for me; and therefore it is very much to be wished that Captain Wentworth may soon put him quite out of her head, and I have very little doubt that he has.  She took hardly any notice of Charles Hayter yesterday. I wish you had been there to see her behaviour.  And as to Captain Wentworth\'s liking Louisa as well as Henrietta, it is nonsense to say so; for he certainly does like Henrietta a great deal the best. But Charles is so positive!  I wish you had been with us yesterday, for then you might have decided between us; and I am sure you would have thought as I did, unless you had been determined to give it against me.""']"
15,204,15_13_ye_shall_god,"['13', 'ye', 'shall', 'god', 'unto', 'prophets', 'charity', 'lord', 'thou', 'thy']","['13:6 If thy brother, the son of thy mother, or thy son, or thy daughter, or the wife of thy bosom, or thy friend, which is as thine own soul, entice thee secretly, saying, Let us go and serve other gods, which thou hast not known, thou, nor thy fathers; 13:7 Namely, of the gods of the people which are round about you, nigh unto thee, or far off from thee, from the one end of the earth even unto the other end of the earth; 13:8 Thou shalt not consent unto him, nor hearken unto him; neither shall thine eye pity him, neither shalt thou spare, neither shalt thou conceal him: 13:9 But thou shalt surely kill him; thine hand shall be first upon him to put him to death, and afterwards the hand of all the people.', '13:1 And the word of the LORD came unto me, saying, 13:2 Son of man, prophesy against the prophets of Israel that prophesy, and say thou unto them that prophesy out of their own hearts, Hear ye the word of the LORD; 13:3 Thus saith the Lord GOD; Woe unto the foolish prophets, that follow their own spirit, and have seen nothing!  13:4 O Israel, thy prophets are like the foxes in the deserts.', '13:13 Hold your peace, let me alone, that I may speak, and let come on me what will.']"
16,195,16_33_34_31_32,"['33', '34', '31', '32', 'iniquity', '37', '35', 'thou', 'thy', 'thee']","['33:8 Surely thou hast spoken in mine hearing, and I have heard the voice of thy words, saying, 33:9 I am clean without transgression, I am innocent; neither is there iniquity in me.', '33:33 If not, hearken unto me: hold thy peace, and I shall teach thee wisdom.', '33:10 Therefore, O thou son of man, speak unto the house of Israel; Thus ye speak, saying, If our transgressions and our sins be upon us, and we pine away in them, how should we then live?  33:11 Say unto them, As I live, saith the Lord GOD, I have no pleasure in the death of the wicked; but that the wicked turn from his way and live: turn ye, turn ye from your evil ways; for why will ye die, O house of Israel?  33:12 Therefore, thou son of man, say unto the children of thy people, The righteousness of the righteous shall not deliver him in the day of his transgression: as for the wickedness of the wicked, he shall not fall thereby in the day that he turneth from his wickedness; neither shall the righteous be able to live for his righteousness in the day that he sinneth.']"
17,190,17_macb_macd_macbeth_haue,"['macb', 'macd', 'macbeth', 'haue', 'vpon', 'sleepe', 'feare', 'enter', 'rosse', 'lenox']","['Macb. Came they not by you?   Lenox. No indeed my Lord', ""Macb. Where?   Lenox. Heere my good Lord. What is't that moues your Highnesse?   Macb. Which of you haue done this?   Lords. What, my good Lord?   Macb. Thou canst not say I did it: neuer shake Thy goary lockes at me"", 'Macb. Ile bring you to him']"
18,183,18_cubits_breadth_thereof_cubit,"['cubits', 'breadth', 'thereof', 'cubit', 'length', 'chambers', 'measured', 'pillars', 'gate', 'side']","['4:1 Moreover he made an altar of brass, twenty cubits the length thereof, and twenty cubits the breadth thereof, and ten cubits the height thereof.', '41:2 And the breadth of the door was ten cubits; and the sides of the door were five cubits on the one side, and five cubits on the other side: and he measured the length thereof, forty cubits: and the breadth, twenty cubits.', '40:21 And the little chambers thereof were three on this side and three on that side; and the posts thereof and the arches thereof were after the measure of the first gate: the length thereof was fifty cubits, and the breadth five and twenty cubits.']"
19,181,19_her_she_woman_handmaid,"['her', 'she', 'woman', 'handmaid', 'said', 'unto', 'laid', 'daughter', 'went', 'came']","['15:28 Then Jesus answered and said unto her, O woman, great is thy faith: be it unto thee even as thou wilt. And her daughter was made whole from that very hour.', '14:12 Then the woman said, Let thine handmaid, I pray thee, speak one word unto my lord the king. And he said, Say on.', '3:16 And when she came to her mother in law, she said, Who art thou, my daughter? And she told her all that the man had done to her.']"
20,173,20_119_thy_testimonies_precepts,"['119', 'thy', 'testimonies', 'precepts', 'statutes', 'commandments', 'judgments', 'word', 'law', 'keep']","['119:16 I will delight myself in thy statutes: I will not forget thy word.', '119:33 Teach me, O LORD, the way of thy statutes; and I shall keep it unto the end.', '119:119 Thou puttest away all the wicked of the earth like dross: therefore I love thy testimonies.']"
21,171,21_brown_father_asked_said,"['brown', 'father', 'asked', 'said', 'burglar', 'don', 'mean', 'he', 'think', 'wig']","['""Yes, my lord,"" said Father Brown.', '""He was myself,"" said Father Brown.', '""And it is?"" asked Father Brown.']"
